country_id,Country
0,Australia
1,Austria
2,Belgium
3,Canada
4,Chile
5,Costa Rica
6,Czech Republic
7,Denmark
8,Estonia
9,Euro area (19 countries)
10,European Union (28 countries)
11,Finland
12,France
13,Germany
14,Greece
15,Hungary
16,Iceland
17,Ireland
18,Israel
19,Italy
20,Japan
21,Latvia
22,Luxembourg
23,Mexico
24,Netherlands
25,New Zealand
26,Norway
27,Poland
28,Portugal
29,Slovak Republic
30,Slovenia
31,Spain
32,Sweden
33,Switzerland
34,United Kingdom
35,United States
