period_id,Period
0,Q1-1990
1,Q2-1990
2,Q3-1990
3,Q4-1990
4,Q1-1991
5,Q2-1991
6,Q3-1991
7,Q4-1991
8,Q1-1992
9,Q2-1992
10,Q3-1992
11,Q4-1992
12,Q1-1993
13,Q2-1993
14,Q3-1993
15,Q4-1993
16,Q1-1994
17,Q2-1994
18,Q3-1994
19,Q4-1994
20,Q1-1995
21,Q2-1995
22,Q3-1995
23,Q4-1995
24,Q1-1996
25,Q2-1996
26,Q3-1996
27,Q4-1996
28,Q1-1997
29,Q2-1997
30,Q3-1997
31,Q4-1997
32,Q1-1998
33,Q2-1998
34,Q3-1998
35,Q4-1998
36,Q1-1999
37,Q2-1999
38,Q3-1999
39,Q4-1999
40,Q1-2000
41,Q2-2000
42,Q3-2000
43,Q4-2000
44,Q1-2001
45,Q2-2001
46,Q3-2001
47,Q4-2001
48,Q1-2002
49,Q2-2002
50,Q3-2002
51,Q4-2002
52,Q1-2003
53,Q2-2003
54,Q3-2003
55,Q4-2003
56,Q1-2004
57,Q2-2004
58,Q3-2004
59,Q4-2004
60,Q1-2005
61,Q2-2005
62,Q3-2005
63,Q4-2005
64,Q1-2006
65,Q2-2006
66,Q3-2006
67,Q4-2006
68,Q1-2007
69,Q2-2007
70,Q3-2007
71,Q4-2007
72,Q1-2008
73,Q2-2008
74,Q3-2008
75,Q4-2008
76,Q1-2009
77,Q2-2009
78,Q3-2009
79,Q4-2009
80,Q1-2010
81,Q2-2010
82,Q3-2010
83,Q4-2010
84,Q1-2011
85,Q2-2011
86,Q3-2011
87,Q4-2011
88,Q1-2012
89,Q2-2012
90,Q3-2012
91,Q4-2012
92,Q1-2013
93,Q2-2013
94,Q3-2013
95,Q4-2013
96,Q1-2014
97,Q2-2014
98,Q3-2014
99,Q4-2014
100,Q1-2015
101,Q2-2015
102,Q3-2015
103,Q4-2015
104,Q1-2016
105,Q2-2016
106,Q3-2016
107,Q4-2016
108,Q1-2017
109,Q2-2017
110,Q3-2017
111,Q4-2017
