"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"B6BLTT02","Current account as a % of GDP, s.a.","BEL","Belgium","ST","Level, ratio or index","Q","Quarterly","2003-Q1","Q1-2003","PC","Percentage","0","Units",,,2.39479599227935,,
"B6BLTT02","Current account as a % of GDP, s.a.","BEL","Belgium","ST","Level, ratio or index","Q","Quarterly","2003-Q2","Q2-2003","PC","Percentage","0","Units",,,4.64107331201168,,
"B6BLTT02","Current account as a % of GDP, s.a.","BEL","Belgium","ST","Level, ratio or index","Q","Quarterly","2003-Q3","Q3-2003","PC","Percentage","0","Units",,,3.10169816143144,,
"B6BLTT02","Current account as a % of GDP, s.a.","BEL","Belgium","ST","Level, ratio or index","Q","Quarterly","2003-Q4","Q4-2003","PC","Percentage","0","Units",,,3.96138334546944,,
"B6BLTT02","Current account as a % of GDP, s.a.","BEL","Belgium","ST","Level, ratio or index","Q","Quarterly","2004-Q1","Q1-2004","PC","Percentage","0","Units",,,3.2293660881054,,
"B6BLTT02","Current account as a % of GDP, s.a.","BEL","Belgium","ST","Level, ratio or index","Q","Quarterly","2004-Q2","Q2-2004","PC","Percentage","0","Units",,,2.83640717484314,,
"B6BLTT02","Current account as a % of GDP, s.a.","BEL","Belgium","ST","Level, ratio or index","Q","Quarterly","2004-Q3","Q3-2004","PC","Percentage","0","Units",,,3.37161465919764,,
"B6BLTT02","Current account as a % of GDP, s.a.","BEL","Belgium","ST","Level, ratio or index","Q","Quarterly","2004-Q4","Q4-2004","PC","Percentage","0","Units",,,3.62804580739681,,
"B6BLTT02","Current account as a % of GDP, s.a.","BEL","Belgium","ST","Level, ratio or index","Q","Quarterly","2005-Q1","Q1-2005","PC","Percentage","0","Units",,,2.8831350925546,,
"B6BLTT02","Current account as a % of GDP, s.a.","BEL","Belgium","ST","Level, ratio or index","Q","Quarterly","2005-Q2","Q2-2005","PC","Percentage","0","Units",,,3.09731367183905,,
"B6BLTT02","Current account as a % of GDP, s.a.","BEL","Belgium","ST","Level, ratio or index","Q","Quarterly","2005-Q3","Q3-2005","PC","Percentage","0","Units",,,1.19920987011661,,
"B6BLTT02","Current account as a % of GDP, s.a.","BEL","Belgium","ST","Level, ratio or index","Q","Quarterly","2005-Q4","Q4-2005","PC","Percentage","0","Units",,,1.19870534597593,,
"B6BLTT02","Current account as a % of GDP, s.a.","BEL","Belgium","ST","Level, ratio or index","Q","Quarterly","2006-Q1","Q1-2006","PC","Percentage","0","Units",,,0.255372007035545,,
"B6BLTT02","Current account as a % of GDP, s.a.","BEL","Belgium","ST","Level, ratio or index","Q","Quarterly","2006-Q2","Q2-2006","PC","Percentage","0","Units",,,0.383485492072518,,
