Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Austria,AUT,Trade (% of GDP),NE.TRD.GNFS.ZS,98.2598214025005,104.317446829971,104.493850113591,103.363592748854,101.916480450433,100.749530099537
Austria,AUT,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,28.6599361864079,28.552329199288,28.807592979861,28.6455135331331,28.4279563981053,28.0570476087612
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.813535031,3.266938912,2.485675087,2.000157493,1.605805605,0.896567005
Austria,AUT,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,12.2523698806763,13.0816698074341
Austria,AUT,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,76.5560989379883,76.4276962280273,76.9751129150391,77.3063583374023,78.1098403930664,79.0129013061523
Austria,AUT,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,..,..,..,98.9232177734375,..
Australia,AUS,Trade (% of GDP),NE.TRD.GNFS.ZS,39.8385212268441,41.2245948433186,42.6449363528924,40.6244333168143,41.9023988326604,40.8147476586503
Australia,AUS,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,27.0716790385471,28.4988338613245,28.21811968405,26.9053441595087,27.2770074482402,25.3962505198767
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.845225682,3.303850156,1.762780156,2.449888641,2.487922705,1.508366722
Australia,AUS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,26.7436008453369,24.9464492797852,29.7842502593994
Australia,AUS,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,72.7989730834961,74.0616683959961,76.4830169677734,72.0368423461914,71.2339401245117,75.5597610473633
Australia,AUS,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,93.1995315551758,93.6081008911133,94.4489364624023,91.0807723999023,91.4505004882813,92.6785736083984
Belgium,BEL,Trade (% of GDP),NE.TRD.GNFS.ZS,151.100176526737,162.753665660528,163.994977033554,162.218643125169,164.615444572186,160.172836053048
Belgium,BEL,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,23.1762908391998,23.0096015154678,22.4514736727946,22.2286125663552,22.0117804446853,22.1709650487276
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.189218922,3.531058241,2.838723095,1.11223458,0.34,0.558102452
Belgium,BEL,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,30.2483501434326,31.2590007781982,31.7094802856445
Belgium,BEL,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,61.7283782958984,62.7599296569824,63.2111015319824,64.278678894043,64.0188674926758,66.210578918457
Belgium,BEL,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,79.641487121582,80.1013717651367,80.2901916503906,81.5879287719727,82.3405380249023,84.3579177856445
Canada,CAN,Trade (% of GDP),NE.TRD.GNFS.ZS,60.0607292686317,62.3286223912692,62.3971367253161,61.9733949150792,64.1835554836149,65.5489169481516
Canada,CAN,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,28.5510628351401,29.375297383388,28.8839156969724,28.8454450873362,..,..
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.776871541,2.912135089,1.515678231,0.938291898,1.906635907,1.125241361
Canada,CAN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,..,..
Canada,CAN,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,82.7489929199219,..,..,..,..
Canada,CAN,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,..,..,..,..,..
Chile,CHL,Trade (% of GDP),NE.TRD.GNFS.ZS,69.0637159959816,72.2056659465458,68.2718463999307,64.9734766055268,65.1425511259883,59.466627878661
Chile,CHL,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,38.7613771694638,37.7763654311666,35.5703916091639,34.0832990897504,33.7158834640882,32.4133383463854
Chile,CHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.409964751,3.340318008,3.006520356,1.791710733,4.395,4.348867283
Chile,CHL,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,10.3645696640015,..,12.269889831543,..,..
Chile,CHL,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,52.8601493835449,50.8061408996582,..,54.0618705749512,..,..
Chile,CHL,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,75.0458374023438,72.8394470214844,..,76.1649398803711,..,..
Czech Republic,CZE,Trade (% of GDP),NE.TRD.GNFS.ZS,128.967077051047,138.784978264669,147.537458939997,147.978174425006,158.726956742669,156.099863722896
Czech Republic,CZE,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,36.7801040545089,37.018735913041,36.9034280276452,36.6992954836149,37.8929456453459,37.7744446424551
Czech Republic,CZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.408717924,1.936389149,3.299073139,1.434726602,0.337186898,0.344782438
Czech Republic,CZE,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,18.8267307281494,19.3418006896973
Czech Republic,CZE,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,87.9936599731445,88.3989562988281,88.5255432128906,89.1595687866211,89.6333618164063,89.7707138061523
Czech Republic,CZE,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,99.8228225708008,99.8156204223633,99.8166580200195,99.7996520996094,99.8154830932617,99.8076629638672
Denmark,DNK,Trade (% of GDP),NE.TRD.GNFS.ZS,94.0999797893453,101.245740053085,103.240999217943,103.050147770845,102.263920471036,104.058935192402
Denmark,DNK,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,22.834272813892,23.4714903666967,23.6259585376319,23.1888711053181,22.8026636741926,22.6680392470059
Denmark,DNK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.297730121,2.758682261,2.397914857,0.78907178,0.56402054,0.452034154
Denmark,DNK,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,28.9782695770264,30.3837299346924
Denmark,DNK,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,74.9399795532227,75.4767608642578,76.0023803710938,76.549072265625,76.8349990844727,77.749137878418
Denmark,DNK,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,..,99.6436004638672,99.5849380493164,91.4856109619141,92.0675811767578
